Linux 2.6.32-431.el6.i686 (bogon) 	06/09/2019 	_i686_	(24 CPU)

12:00:01 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:10:01 AM     all      0.02      0.00      0.04      0.01      0.00     99.93
12:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
12:30:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
12:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
12:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
01:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
02:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
02:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
02:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
02:30:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
02:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
02:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
03:00:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
03:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
03:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
03:30:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
03:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
03:50:01 AM     all      0.02      0.01      0.05      0.01      0.00     99.92
04:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
04:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
04:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
04:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
04:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
04:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
05:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
05:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
06:00:02 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
06:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
06:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
06:30:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
06:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
06:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
07:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
07:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
08:00:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
08:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
08:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
08:30:02 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
08:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
08:50:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
09:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
09:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
09:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
09:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
09:40:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
09:50:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
10:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
10:10:01 AM     all      0.02      0.00      0.05      0.00      0.00     99.93
10:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.93
10:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
10:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
10:50:01 AM     all      0.05      0.00      0.04      0.00      0.00     99.90
11:00:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
11:10:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
11:20:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
11:30:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
11:40:01 AM     all      0.02      0.00      0.04      0.00      0.00     99.94
11:50:01 AM     all      0.03      0.00      0.05      0.00      0.00     99.92
12:00:01 PM     all      0.02      0.00      0.05      0.00      0.00     99.93
12:10:01 PM     all      0.03      0.00      0.05      0.00      0.00     99.93
12:20:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
12:30:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
12:40:01 PM     all      0.02      0.00      0.04      0.00      0.00     99.94
12:50:01 PM     all      0.03      0.00      0.05      0.00      0.00     99.92
